id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6cojDFKaio7R1mpGrjvr0C,0.699,0.621,7,-6.217,1,0.0341,0.0152,7.54e-05,0.282,0.815,131.963,195172,4
6Dcz7Zg0I9Zu88QCQfQmmO,0.624,0.908,10,-3.215,1,0.0992,0.408,0.0,0.139,0.659,105.048,187364,4
7s7m8L8NcIYzgw0qmoghA8,0.678,0.746,7,-6.337,1,0.128,0.000994,0.000293,0.061,0.431,116.98,245962,4
5rF6YUIlgiat22OT1lWspJ,0.48,0.87,1,-4.792,1,0.0362,0.00438,0.00603,0.0826,0.584,161.953,297933,4
6aZ4oJHt5zq9dM3Qb9o2Yq,0.515,0.764,11,-5.238,1,0.0444,0.000152,0.878,0.064,0.342,93.579,196800,4
5QUhSXDrrX7euR87oeQevM,0.671,0.683,7,-5.271,1,0.0965,0.135,0.00107,0.0534,0.809,164.943,193369,4
4bNa2MHnPB7zckROAHh8mR,0.491,0.792,8,-4.382,1,0.0699,0.00381,0.0,0.359,0.74,169.997,159746,4
0RQoxryvRJZD9CShaRLASb,0.612,0.727,4,-5.141,1,0.0492,0.173,5.61e-05,0.273,0.677,119.907,201946,4
2gT72HL4Y84K2Mle3miAMJ,0.355,0.919,7,-3.771,1,0.356,0.00234,0.000313,0.262,0.259,159.922,207141,4
2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
2uZeiDN9WNvkVdMe4gQPFv,0.686,0.814,7,-5.683,1,0.051,0.0125,1.66e-05,0.358,0.646,116.939,208973,4
1aSYLITaiacybc3BNuHzGs,0.54,0.811,5,-3.534,1,0.0315,0.00519,0.0,0.127,0.677,145.009,197738,4
1TX0ImiGMYiikRash29a2b,0.549,0.715,10,-7.01,1,0.0356,0.359,0.0,0.101,0.555,134.074,229773,4
4jwrBNhvazRacmab5ArWSZ,0.462,0.914,8,-6.382,1,0.0416,0.00124,0.000125,0.0978,0.326,142.978,233907,4
7GKMstqz3UYkFvlX93qCyz,0.689,0.863,9,-5.962,1,0.0348,0.0373,1.55e-05,0.0958,0.576,105.044,256320,4
2TSiZ6ZtA4x5NbQgGpYrVU,0.752,0.676,8,-4.777,0,0.0324,0.267,0.148,0.0929,0.709,98.039,241800,4
3FeVmId7tL5YN8B7R3imoM,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,228000,4
2gQPv5jvVPqU2a9HhMNO1v,0.594,0.612,8,-6.627,0,0.363,0.835,0.0,0.461,0.687,179.629,168020,4
35OVbqhT8KWwfIip7fKJbw,0.604,0.567,8,-8.673,0,0.0275,0.288,0.186,0.0992,0.345,123.934,285640,4
474uVhyGgK5MtY9gMcDgGl,0.744,0.516,2,-6.365,1,0.0513,0.632,0.0,0.605,0.281,97.944,152293,4
5Uou8idst1XJc0F6MRAk5S,0.476,0.867,5,-3.982,1,0.037,0.00327,3.42e-06,0.0962,0.466,110.026,327547,4
5iXnD2VizcAbErpkcuNQ6I,0.403,0.892,0,-6.244,1,0.0913,0.00374,0.0113,0.882,0.185,163.991,155200,4
